STATISTIC,REGION,TYPE OF POLICING,POLICING JURISDICTION,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Criminal Code Offences,Powell River,RCMP Provincial,Texada Island Prov,71.00,48.00,64.00,52.00,63.00,55.00,66.00,41.00,29.00,51.00
Criminal Code Offences,Thompson Nicola,RCMP Provincial,T'Kumlups Prov,859.00,970.00,754.00,682.00,712.00,697.00,604.00,563.00,619.00,626.00
Criminal Code Offences,Alberni Clayoquot,RCMP Provincial,Tofino Prov,682.00,837.00,843.00,706.00,540.00,567.00,545.00,559.00,392.00,553.00
Criminal Code Offences,Kootenay Boundary,RCMP Municipal,Trail Mun,"1,101.00",926.00,951.00,887.00,929.00,878.00,904.00,736.00,691.00,557.00
Criminal Code Offences,Kootenay Boundary,RCMP Provincial,"Trail and Greater District (5,20)",510.00,586.00,539.00,502.00,415.00,434.00,485.00,405.00,377.00,363.00
Criminal Code Offences,Fraser Fort George,RCMP Provincial,Tsay Keh Dene Prov,258.00,243.00,275.00,292.00,243.00,225.00,313.00,190.00,182.00,188.00
Criminal Code Offences,Peace River,RCMP Provincial,Tumbler Ridge Prov,506.00,461.00,430.00,363.00,305.00,259.00,201.00,153.00,139.00,147.00
Criminal Code Offences,Alberni Clayoquot,RCMP Provincial,Ucluelet Prov,362.00,422.00,375.00,320.00,294.00,238.00,198.00,175.00,133.00,176.00
Criminal Code Offences,Metro Vancouver,RCMP Provincial,University Prov,"1,339.00","1,245.00",969.00,"1,172.00","1,324.00","1,169.00","1,231.00","1,302.00","1,250.00","1,464.00"
Criminal Code Offences,Fraser Fort George,RCMP Provincial,Valemount Prov,190.00,171.00,203.00,207.00,147.00,159.00,177.00,148.00,137.00,158.00
Criminal Code Offences,Metro Vancouver,Independent Municipal,Vancouver Mun (1),"64,627.00","58,428.00","55,508.00","51,779.00","49,707.00","48,802.00","48,796.00","49,402.00","49,204.00","49,803.00"
Criminal Code Offences,Bulkley Nechako,RCMP Provincial,Vanderhoof Prov,948.00,"1,110.00","1,106.00","1,300.00","1,092.00","1,059.00","1,264.00","1,158.00","1,093.00","1,095.00"
Criminal Code Offences,North Okanagan,RCMP Municipal,Vernon Mun,"5,486.00","5,081.00","5,552.00","4,861.00","4,274.00","3,980.00","4,418.00","4,399.00","4,719.00","4,684.00"
Criminal Code Offences,North Okanagan,RCMP Provincial,Vernon Prov,705.00,587.00,659.00,597.00,516.00,486.00,496.00,420.00,396.00,407.00
Criminal Code Offences,Capital,Independent Municipal,Victoria Mun (21),"16,847.00","15,312.00","13,823.00","13,375.00","13,772.00","11,450.00","10,184.00","9,333.00","10,436.00","11,662.00"
Criminal Code Offences,Capital,RCMP Municipal,View Royal Mun,771.00,690.00,697.00,769.00,628.00,492.00,509.00,461.00,411.00,443.00
Criminal Code Offences,Cariboo,RCMP Provincial,Wells Prov,37.00,21.00,30.00,26.00,28.00,27.00,22.00,23.00,31.00,48.00
Criminal Code Offences,Central Okanagan,RCMP Municipal,West Kelowna Mun (9),,,,"1,917.00","1,466.00","1,352.00","1,517.00","1,282.00","1,380.00","1,609.00"
Criminal Code Offences,Capital,RCMP Provincial,West Shore Prov,684.00,543.00,539.00,488.00,421.00,369.00,339.00,246.00,218.00,301.00
Criminal Code Offences,Metro Vancouver,Independent Municipal,West Vancouver Mun (1),"2,654.00","2,452.00","2,261.00","2,256.00","1,880.00","1,653.00","1,777.00","1,764.00","1,791.00","1,970.00"
Criminal Code Offences,Squamish Lillooet,RCMP Municipal,Whistler Mun,"2,369.00","2,301.00","1,916.00","1,739.00","1,672.00","1,607.00","1,721.00","1,454.00","1,221.00","1,334.00"
Criminal Code Offences,Squamish Lillooet,RCMP Provincial,Whistler Prov,37.00,113.00,66.00,67.00,20.00,17.00,15.00,56.00,9.00,28.00
Criminal Code Offences,Metro Vancouver,RCMP Municipal,White Rock Mun,"1,457.00","1,407.00","1,330.00","1,176.00","1,418.00","1,198.00","1,155.00","1,003.00","1,269.00","1,410.00"
Criminal Code Offences,Cariboo,RCMP Municipal,Williams Lake Mun,"3,176.00","3,520.00","3,636.00","2,797.00","2,860.00","2,487.00","3,039.00","3,203.00","2,993.00","2,960.00"
Criminal Code Offences,Cariboo,RCMP Provincial,Williams Lake Prov,629.00,746.00,756.00,569.00,540.00,516.00,613.00,623.00,586.00,488.00
Crime Rates,Fraser Valley,Independent Municipal,Abbotsford Mun (1),97.71,94.81,87.84,69.75,64.73,60.05,52.54,52.86,57.22,64.27
Crime Rates,Fraser Valley,RCMP Provincial,Agassiz Prov (2),137.60,126.71,119.62,182.21,141.41,137.49,123.10,118.85,107.24,146.38
Crime Rates,Mount Waddington,RCMP Provincial,Alert Bay Prov,178.99,221.05,202.11,218.88,197.97,205.84,204.28,171.09,170.71,138.31
Crime Rates,Cariboo,RCMP Provincial,Alexis Creek Prov,319.56,275.68,251.44,182.92,126.52,152.36,191.93,197.44,177.19,122.01
Crime Rates,Cariboo,RCMP Provincial,Anahim Lake Prov,395.28,530.90,393.60,325.42,228.93,220.34,258.84,232.39,221.29,158.19
Crime Rates,North Okanagan,RCMP Provincial,Armstrong Prov (3),60.00,60.38,51.80,44.54,44.09,42.59,50.42,44.84,37.23,40.75
Crime Rates,Thompson Nicola,RCMP Provincial,Ashcroft Prov,149.02,155.52,131.79,92.43,91.90,78.36,61.71,54.13,67.92,80.27
Crime Rates,Kitimat Stikine,RCMP Provincial,Atlin Prov,110.18,96.21,152.27,231.85,183.57,211.82,279.62,155.61,170.16,131.89
Crime Rates,Thompson Nicola,RCMP Provincial,Barriere Prov,68.50,76.52,60.30,47.63,47.84,42.81,50.56,54.72,61.98,73.74
Crime Rates,Central Coast,RCMP Provincial,Bella Bella Prov (4),379.72,359.65,299.68,275.82,266.63,254.42,237.26,191.67,164.22,85.98
Crime Rates,Central Coast,RCMP Provincial,Bella Coola Prov,212.17,190.53,192.53,181.38,215.55,184.51,202.97,93.65,119.77,98.54
Crime Rates,Fraser Valley,RCMP Provincial,Boston Bar Prov,206.42,216.92,217.66,178.85,239.37,188.38,180.95,152.76,118.48,160.13
Crime Rates,Kootenay Boundary,RCMP Provincial,Boundary/Grand Forks Prov (5),67.75,74.83,88.09,86.63,89.51,73.82,71.61,52.54,56.98,66.82
Crime Rates,Kootenay Boundary,RCMP Provincial,Boundary/Midway Prov (5),67.42,59.61,78.51,86.60,106.04,90.91,56.42,45.98,60.57,76.28
Crime Rates,Metro Vancouver,RCMP Provincial,Bowen Island Prov,35.55,31.24,37.93,37.69,25.39,36.12,19.38,26.80,20.07,33.84
Crime Rates,Metro Vancouver,RCMP Municipal,Burnaby Mun,109.25,91.30,80.72,81.86,70.69,64.77,64.19,57.62,61.92,62.47
Crime Rates,Bulkley Nechako,RCMP Provincial,Burns Lake Prov,274.56,232.68,177.90,203.00,202.22,160.73,160.03,144.85,123.72,112.89
Crime Rates,Strathcona,RCMP Municipal,Campbell River Mun,177.82,159.08,135.12,130.41,123.37,109.28,103.53,97.22,99.18,96.72
Crime Rates,Strathcona,RCMP Provincial,Campbell River Prov,102.05,84.13,65.33,72.42,74.70,81.32,82.18,70.28,70.33,111.74
Crime Rates,Central Kootenay,RCMP Municipal,Castlegar Mun,164.77,160.06,142.09,117.31,105.87,95.58,88.62,87.92,80.04,83.62
Crime Rates,Central Kootenay,RCMP Provincial,Castlegar Prov (5),52.01,48.16,41.69,45.59,39.71,39.44,42.02,35.42,35.97,34.81
Crime Rates,Capital,Independent Municipal,Central Saanich Mun,45.05,52.11,44.11,43.08,37.66,29.65,32.83,28.48,26.65,28.73
Crime Rates,Thompson Nicola,RCMP Provincial,Chase Prov,90.80,100.85,72.83,76.28,87.63,72.37,67.17,64.47,61.29,73.28
Crime Rates,Peace River,RCMP Provincial,Chetwynd Prov,191.08,180.98,147.58,143.93,163.04,133.67,126.93,103.87,87.42,96.79
Crime Rates,Fraser Valley,RCMP Municipal,Chilliwack Mun (1),145.81,143.03,126.38,112.64,95.98,96.88,98.25,98.96,103.86,110.66
Crime Rates,Fraser Valley,RCMP Provincial,Chilliwack Prov,78.71,149.54,163.18,108.76,139.03,123.48,132.70,147.54,165.49,184.11
Crime Rates,Thompson Nicola,RCMP Provincial,Clearwater Prov,90.44,86.08,71.48,70.71,59.03,63.32,69.64,68.42,58.72,56.95
Crime Rates,Thompson Nicola,RCMP Provincial,Clinton Prov,101.47,85.60,73.71,79.76,85.21,67.80,65.32,56.97,52.38,62.02
Crime Rates,North Okanagan,RCMP Municipal,Coldstream Mun,36.39,37.75,48.70,40.68,35.08,30.63,29.65,31.92,31.26,32.62
Crime Rates,East Kootenay,RCMP Provincial,Columbia Valley Prov,119.97,130.47,101.62,98.26,84.46,79.67,85.99,79.76,63.20,66.85
Crime Rates,Capital,RCMP Municipal,Colwood Mun,91.09,82.35,59.10,49.13,41.95,35.73,39.88,29.87,27.40,36.63
Crime Rates,Comox Valley,RCMP Municipal,Comox Mun,45.87,63.52,58.83,48.92,41.78,39.75,31.86,32.20,33.01,38.32
Crime Rates,Comox Valley,RCMP Provincial,Comox Valley Prov,57.37,56.18,52.23,46.93,43.77,38.25,38.26,30.32,32.57,37.08
Crime Rates,Metro Vancouver,RCMP Municipal,Coquitlam Mun (1),87.40,77.23,75.81,65.60,61.83,57.75,55.90,57.02,56.68,61.47
Crime Rates,Metro Vancouver,RCMP Provincial,Coquitlam Prov,45.72,32.13,28.38,45.04,38.99,30.31,29.28,27.57,25.04,33.15
Crime Rates,Comox Valley,RCMP Municipal,Courtenay Mun,151.37,158.58,134.64,135.24,120.58,107.82,93.19,99.96,101.67,108.74
Crime Rates,East Kootenay,RCMP Municipal,Cranbrook Mun,126.41,139.87,116.46,110.89,118.32,108.48,103.55,89.45,75.67,78.55
Crime Rates,East Kootenay,RCMP Provincial,Cranbrook Prov,41.65,47.41,39.88,50.71,46.88,49.47,44.93,45.73,32.27,33.96
Crime Rates,Central Kootenay,RCMP Municipal,Creston Mun (6),,,,,,,76.86,98.32,82.57,97.81
Crime Rates,Central Kootenay,RCMP Provincial,Creston Prov (6),101.98,87.98,70.55,71.51,71.12,64.99,53.31,40.67,35.21,52.30
Crime Rates,Peace River,RCMP Municipal,Dawson Creek Mun,207.04,204.53,172.84,150.39,144.98,141.62,148.77,123.51,140.02,147.86
Crime Rates,Peace River,RCMP Provincial,Dawson Creek Prov,52.91,40.52,39.11,39.77,41.12,38.85,38.17,37.45,47.55,52.91
Crime Rates,Kitimat Stikine,RCMP Provincial,Dease Lake Prov,195.55,174.70,170.96,180.68,130.78,121.19,130.07,111.36,138.66,122.31
Crime Rates,Metro Vancouver,Independent Municipal,Delta Mun (1),69.52,65.57,67.22,65.29,59.00,54.61,53.03,47.46,51.49,46.03
Crime Rates,Cowichan Valley,RCMP Provincial,Duncan Prov,233.72,205.46,166.94,137.15,156.55,158.15,141.03,145.36,130.64,140.17
Crime Rates,East Kootenay,RCMP Provincial,Elk Valley Prov (7),108.72,103.74,91.73,86.88,87.27,72.51,64.32,54.07,56.63,44.05
Crime Rates,North Okanagan,RCMP Provincial,Enderby Prov,113.36,110.37,64.64,58.01,69.30,61.71,59.41,65.36,63.78,58.21
Crime Rates,Columbia Shuswap,RCMP Provincial,Falkland Prov,40.41,67.73,50.74,46.52,48.35,37.84,43.26,37.54,33.76,35.06
Crime Rates,Bulkley Nechako,RCMP Provincial,Fort St James Prov,370.50,313.26,292.35,278.11,298.20,271.42,268.45,277.44,222.20,212.66
Crime Rates,Peace River,RCMP Municipal,Fort St John Mun,212.84,179.18,186.92,192.04,167.85,156.80,155.46,142.48,147.46,145.92
Crime Rates,Peace River,RCMP Provincial,Fort St John Prov,61.63,48.00,53.79,49.45,46.90,35.76,44.81,46.26,50.21,46.78
Crime Rates,Bulkley Nechako,RCMP Provincial,Fraser Lake Prov,71.97,63.32,123.43,108.87,88.83,84.35,78.34,63.56,39.47,47.23
Crime Rates,Nanaimo,RCMP Provincial,Gabriola Island Prov,43.12,73.39,69.53,60.12,59.71,37.51,37.95,40.10,55.57,48.64
Crime Rates,Columbia Shuswap,RCMP Provincial,Golden Prov,107.76,98.75,101.83,89.52,81.75,81.82,85.60,74.33,65.46,79.53
Crime Rates,Fraser Valley,RCMP Municipal,Hope Mun,186.32,234.71,192.80,158.61,140.04,162.65,148.11,119.72,134.96,176.06
Crime Rates,Fraser Valley,RCMP Provincial,Hope  Prov,245.16,167.94,161.21,167.95,242.19,181.50,130.47,125.00,122.72,170.27
Crime Rates,Bulkley Nechako,RCMP Provincial,Houston/Granisle Prov (8),114.65,125.42,118.81,127.23,116.65,115.51,133.16,97.76,78.47,100.02
Crime Rates,Peace River,RCMP Provincial,Hudson's Hope Prov,46.85,37.07,72.25,86.60,73.49,73.52,87.53,60.82,52.96,60.13
Crime Rates,Thompson Nicola,RCMP Municipal,Kamloops Mun,159.12,153.48,118.31,111.98,112.52,105.59,98.32,106.10,95.18,95.39
Crime Rates,Central Kootenay,RCMP Provincial,Kaslo Prov (5),110.13,71.84,40.99,45.95,42.19,45.11,57.90,93.12,57.11,86.26
Crime Rates,Central Okanagan,RCMP Municipal,Kelowna Mun,136.94,130.21,124.11,122.27,114.30,100.57,105.97,89.38,88.96,99.92
Crime Rates,Central Okanagan,RCMP Provincial,"Kelowna Prov (9,10)",78.51,76.29,77.69,64.02,59.61,67.93,78.80,70.21,69.75,69.80
Crime Rates,Fraser Valley,RCMP Municipal,Kent Mun (2),,,,46.65,69.76,74.93,63.20,58.24,65.12,71.19
Crime Rates,Okanagan Similkameen,RCMP Provincial,Keremeos Prov,60.16,79.71,77.29,87.70,65.95,96.06,58.49,65.10,92.28,90.04
Crime Rates,East Kootenay,RCMP Municipal,Kimberley Mun,80.07,74.72,88.73,65.80,65.56,60.85,49.12,47.32,32.98,52.48
Crime Rates,East Kootenay,RCMP Provincial,Kimberley Prov,54.10,43.41,35.01,37.28,38.20,40.00,25.82,30.38,28.24,46.77
Crime Rates,Kitimat Stikine,RCMP Municipal,Kitimat Mun,80.52,106.84,112.65,118.43,108.40,103.65,114.60,111.27,95.57,83.18
Crime Rates,Kitimat Stikine,RCMP Provincial,Kitimat Prov,138.00,123.08,100.00,92.45,112.60,55.45,54.64,73.74,86.81,78.67
Crime Rates,Cowichan Valley,RCMP Municipal,Ladysmith Mun,71.02,73.00,83.88,85.24,85.30,77.33,66.41,48.20,58.55,80.84
Crime Rates,Cowichan Valley,RCMP Provincial,Ladysmith Prov,75.08,64.99,71.43,64.82,57.48,51.95,51.67,41.59,53.01,57.62
Crime Rates,Central Okanagan,RCMP Municipal,Lake Country Mun,69.97,80.34,72.76,64.78,54.86,49.39,61.67,43.59,43.91,47.88
Crime Rates,Cowichan Valley,RCMP Provincial,Lake Cowichan Prov,144.41,110.46,115.30,106.93,101.08,83.21,58.06,76.73,71.25,77.10
Crime Rates,Capital,RCMP Municipal,Langford Mun,127.01,115.91,97.96,88.93,69.68,58.40,63.16,51.64,49.94,46.63
Crime Rates,Metro Vancouver,RCMP Municipal,Langley City Mun,177.78,143.04,138.37,137.55,144.23,141.27,150.91,144.08,135.53,141.72
Crime Rates,Metro Vancouver,RCMP Municipal,Langley Township Mun (1),99.11,96.39,79.64,74.52,81.29,73.54,74.61,66.44,75.12,72.15
Crime Rates,Squamish Lillooet,RCMP Provincial,Lillooet Prov,154.48,136.90,135.05,169.39,168.58,146.56,160.37,120.96,98.57,84.18
Crime Rates,Kitimat Stikine,RCMP Provincial,Lisims/Nass Valley Prov,255.74,333.51,250.64,261.33,236.60,201.03,200.20,220.01,110.69,147.71
Crime Rates,Thompson Nicola,RCMP Provincial,Logan Lake Prov,81.94,86.38,56.53,69.38,60.44,53.72,52.90,45.88,46.27,50.23
Crime Rates,North Okanagan,RCMP Provincial,Lumby Prov,65.88,46.19,66.78,53.75,48.05,40.86,51.54,42.74,35.39,45.43
Crime Rates,Thompson Nicola,RCMP Provincial,Lytton Prov,182.44,195.26,165.72,93.32,117.28,108.55,103.43,81.78,70.99,101.04
Crime Rates,Fraser Fort George,RCMP Provincial,Mackenzie Prov,109.21,111.69,93.28,87.94,127.60,128.00,166.99,123.75,149.05,129.87
Crime Rates,Metro Vancouver,RCMP Municipal,Maple Ridge Mun (1)(11),115.00,126.56,105.87,94.98,85.42,75.04,74.52,70.25,85.64,95.78
Crime Rates,North Coast Regional District (22),RCMP Provincial,Masset Prov,295.38,292.06,246.44,240.06,194.36,144.03,156.13,123.76,168.39,156.30
Crime Rates,Fraser Fort George,RCMP Provincial,McBride Prov,126.34,93.30,73.27,63.63,60.68,66.15,66.47,72.20,66.35,73.27
Crime Rates,Thompson Nicola,RCMP Municipal,Merritt Mun,242.15,242.95,222.04,193.19,169.80,162.89,173.71,154.09,139.11,136.27
Crime Rates,Thompson Nicola,RCMP Provincial,Merritt Prov,110.64,97.64,77.95,82.72,74.62,82.23,80.26,66.62,70.45,74.70
Crime Rates,Fraser Valley,RCMP Municipal,Mission Mun,141.28,132.13,128.49,101.45,103.18,94.15,98.78,91.44,96.56,119.81
Crime Rates,Fraser Valley,RCMP Provincial,Mission Prov,127.61,96.56,90.31,88.24,81.32,73.72,62.93,51.79,54.53,65.03
Crime Rates,Central Kootenay,RCMP Provincial,Nakusp Prov (5),79.81,66.65,67.56,73.91,80.48,53.93,69.03,68.46,59.53,66.08
Crime Rates,Nanaimo,RCMP Municipal,Nanaimo Mun (1),167.88,152.68,125.52,135.36,123.97,106.15,106.53,99.61,101.15,94.28
Crime Rates,Nanaimo,RCMP Provincial,Nanaimo Prov,68.71,57.94,53.41,42.71,42.77,40.49,33.14,29.61,32.10,36.67
Crime Rates,Central Kootenay,Independent Municipal,Nelson Mun,124.83,113.33,106.14,92.93,99.79,89.00,97.07,93.58,82.62,79.06
Crime Rates,Central Kootenay,RCMP Provincial,Nelson Prov (5),36.13,33.12,31.66,25.07,22.93,24.14,23.70,24.50,18.90,19.96
Crime Rates,Kitimat Stikine,RCMP Provincial,New Hazelton Prov,182.71,187.42,214.78,246.62,255.23,251.63,209.34,217.38,199.50,143.44
Crime Rates,Metro Vancouver,Independent Municipal,New Westminster Mun,128.87,118.10,102.76,95.81,90.29,84.23,85.30,82.93,82.86,75.25
Crime Rates,Strathcona,RCMP Provincial,Nootka Sound Prov,142.99,135.62,99.09,93.84,96.98,76.13,103.63,90.24,96.11,109.87
Crime Rates,Cowichan Valley,RCMP Municipal,North Cowichan Mun,97.66,91.70,83.70,81.20,79.90,82.65,78.75,72.65,67.94,83.10
Crime Rates,Capital,RCMP Municipal,North Saanich Mun,38.28,37.56,40.90,39.86,36.45,35.11,30.06,25.19,28.10,29.83
Crime Rates,Metro Vancouver,RCMP Municipal,"North Vancouver City Mun (12,13)",100.29,91.56,88.64,98.61,83.25,78.85,68.16,66.82,66.52,72.34
Crime Rates,Metro Vancouver,RCMP Municipal,North Vancouver District Mun (12),55.57,51.28,45.99,50.20,44.77,42.59,40.22,36.88,38.27,38.93
Crime Rates,Metro Vancouver,RCMP Provincial,"North Vancouver Prov (1,12,13)",141.76,153.70,183.93,204.87,191.33,176.45,149.70,119.05,110.25,106.03
Crime Rates,Northern Rockies,RCMP Municipal,Northern Rockies Mun (14),,,,,,,,115.32,129.21,118.52
Crime Rates,Northern Rockies,RCMP Provincial,Northern Rockies Prov (14),243.76,200.07,173.80,190.71,199.56,206.63,206.83,858.80,536.54,471.48
Crime Rates,Capital,Independent Municipal,Oak Bay Mun,50.73,50.43,47.27,45.96,40.73,42.30,38.43,28.73,27.37,29.13
Crime Rates,Nanaimo,RCMP Provincial,Oceanside Prov ,71.50,58.27,48.06,45.49,39.16,35.12,29.60,32.62,29.20,39.61
Crime Rates,Cariboo,RCMP Provincial,One Hundred Mile House Prov,100.63,85.67,75.54,61.17,57.14,58.75,50.90,44.13,42.52,48.90
Crime Rates,Capital,RCMP Provincial,Outer Gulf  Islands Prov,48.75,47.26,37.25,28.58,27.24,31.44,27.61,31.37,32.69,28.56
Crime Rates,Nanaimo,RCMP Municipal,Parksville Mun,141.81,150.89,128.60,99.28,73.83,66.24,74.30,72.75,65.25,89.93
Crime Rates,Central Okanagan,RCMP Municipal,Peachland Mun (10),,,,,,,30.74,32.23,43.44,33.71
Crime Rates,Squamish Lillooet,RCMP Provincial,Pemberton Prov,77.14,67.53,86.88,83.67,75.59,62.88,70.35,58.29,61.59,75.39
Crime Rates,Okanagan Similkameen,RCMP Municipal,Penticton Mun,151.91,137.95,129.27,134.89,130.97,123.33,124.98,102.55,102.61,126.13
Crime Rates,Okanagan Similkameen,RCMP Provincial,Penticton Prov,67.28,62.91,53.89,50.04,42.46,46.50,41.63,32.38,51.09,49.86
Crime Rates,Metro Vancouver,RCMP Municipal,Pitt Meadows Mun (11),95.14,115.96,93.46,81.85,63.70,61.79,59.92,52.51,84.95,82.79
Crime Rates,Alberni Clayoquot,RCMP Municipal,Port Alberni Mun,226.36,195.23,179.61,155.29,139.32,139.85,132.55,136.11,118.40,131.65
Crime Rates,Alberni Clayoquot,RCMP Provincial,Port Alberni Prov,85.95,68.59,58.00,49.85,53.96,46.53,44.60,40.54,28.15,34.85
Crime Rates,Mount Waddington,RCMP Provincial,Port Alice Prov,124.42,100.23,95.02,105.94,132.63,86.96,63.40,69.63,41.31,67.57
Crime Rates,Metro Vancouver,RCMP Municipal,Port Coquitlam Mun (1),108.34,89.87,79.40,67.41,68.29,66.62,70.84,62.77,68.42,79.26
Crime Rates,Mount Waddington,RCMP Provincial,Port Hardy Prov,278.05,251.18,203.78,179.09,140.16,155.49,146.98,148.84,147.23,167.08
Crime Rates,Mount Waddington,RCMP Provincial,Port McNeill Prov,120.65,119.93,111.21,84.78,71.44,58.98,60.29,50.73,51.50,53.23
Crime Rates,Metro Vancouver,Independent Municipal,Port Moody Mun,64.33,52.05,43.87,41.65,37.01,35.91,33.53,29.38,30.16,33.72
Crime Rates,Powell River,RCMP Municipal,Powell River Mun,114.63,105.08,90.60,86.15,73.26,74.95,86.05,71.20,75.54,67.94
Crime Rates,Powell River,RCMP Provincial,Powell River Prov,88.64,66.40,69.50,74.49,52.60,55.44,46.11,52.67,36.68,36.64
Crime Rates,Fraser Fort George,RCMP Municipal,Prince George Mun,204.85,193.36,151.56,163.92,173.15,162.26,159.99,140.19,139.51,149.14
Crime Rates,Fraser Fort George,RCMP Provincial,Prince George Prov,51.28,45.46,36.41,38.27,50.43,49.31,37.02,35.17,33.12,40.55
Crime Rates,North Coast Regional District (22),RCMP Municipal,Prince Rupert Mun,235.89,268.50,253.40,241.81,245.35,278.71,268.61,226.56,200.61,220.01
Crime Rates,North Coast Regional District (22),RCMP Provincial,Prince Rupert Prov (15),172.05,198.31,168.17,104.00,120.84,168.28,173.31,111.28,111.00,133.40
Crime Rates,Okanagan Similkameen,RCMP Provincial,Princeton Prov,88.05,109.52,96.93,91.81,82.44,91.33,70.25,68.23,69.63,91.61
